category_uid,category_name,category_description,category_parent_id
220-010000,"Beauty & Personal Care","Services related to personal appearance and grooming",NULL
220-010100,"Hair Care Services","Full range of hair styling and treatment services",220-010000
220-010101,"Women's Hair Styling","Professional women's haircuts and styling",220-010100
220-010102,"Men's Hair Styling","Professional men's haircuts and styling",220-010100
220-010103,"Children's Hair Services","Specialized children's hair care",220-010100
220-010104,"Special Event Hairstyling","Formal and event hair styling services",220-010100
220-010105,"Hair Extension Services","Professional hair extension applications",220-010100
220-010200,"Hair Coloring Services","Specialized hair coloring and dyeing services",220-010000
220-010201,"Full Color Services","Complete hair coloring treatments",220-010200
220-010202,"Highlights & Lowlights","Partial hair coloring services",220-010200
220-010203,"Balayage Services","Specialized balayage techniques",220-010200
220-010204,"Creative Color Services","Artistic and unique hair coloring",220-010200
220-010205,"Color Correction Services","Professional color correction treatments",220-010200
220-010300,"Hair Treatment Specialists","Therapeutic and restorative hair treatments",220-010000
220-010301,"Scalp Treatments","Specialized scalp care",220-010300
220-010302,"Hair Loss Treatment","Hair restoration services",220-010300
220-010303,"Keratin Treatment","Hair smoothing services",220-010300
220-010304,"Deep Conditioning","Hair restoration therapy",220-010300
220-010305,"Chemical Treatment","Hair chemical services",220-010300
220-010400,"Facial Services","Specialized facial treatments and services",220-010000
220-010401,"Basic Facial Treatments","Standard facial care services",220-010400
220-010402,"Advanced Facial Therapy","Specialized facial treatments",220-010400
220-010403,"Acne Treatments","Targeted acne care services",220-010400
220-010404,"Anti-Aging Facials","Age-defying facial treatments",220-010400
220-010405,"Facial Massage","Therapeutic facial massage services",220-010400
220-010500,"Skin Treatment Centers","Professional skin care and treatment facilities",220-010000
220-010501,"Chemical Peels","Skin resurfacing treatment",220-010500
220-010502,Microdermabrasion,"Skin exfoliation therapy",220-010500
220-010503,"Laser Treatment","Laser skin therapy",220-010500
220-010504,"Light Therapy","Photo rejuvenation",220-010500
220-010505,"Skin Tightening","Firming treatments",220-010500
220-010600,"Dermatology Services","Medical skin care and treatment services",220-010000
220-010601,"Medical Dermatology","Skin disease treatment",220-010600
220-010602,"Cosmetic Dermatology","Aesthetic skin services",220-010600
220-010603,"Surgical Dermatology","Skin surgery services",220-010600
220-010604,"Pediatric Dermatology","Child skin care",220-010600
220-010605,Dermatopathology,"Skin condition diagnosis",220-010600
220-010700,"Nail Salons","Professional nail care and art services",220-010000
220-010701,"Basic Manicures","Standard nail care services",220-010700
220-010702,"Gel Manicures","Long-lasting gel nail treatments",220-010700
220-010703,"Basic Pedicures","Foot and toenail care services",220-010700
220-010704,"Spa Pedicures","Luxury pedicure treatments",220-010700
220-010705,"Nail Art Services","Decorative nail design services",220-010700
220-010800,"Specialized Nail Services","Advanced nail treatments and designs",220-010000
220-010801,"Nail Extensions","Artificial nail services",220-010800
220-010802,"Nail Art Design","Decorative nail services",220-010800
220-010803,"Natural Nail Care","Organic nail treatments",220-010800
220-010804,"Nail Repair","Nail restoration services",220-010800
220-010805,"Professional Filing","Nail shaping services",220-010800
220-010900,"Nail Health Centers","Therapeutic nail care and maintenance",220-010000
220-010901,"Fungal Treatment","Nail infection therapy",220-010900
220-010902,"Ingrown Treatment","Ingrown nail care",220-010900
220-010903,"Preventive Care","Nail health maintenance",220-010900
220-010904,"Medical Pedicure","Therapeutic foot care",220-010900
220-010905,"Nail Assessment","Nail health evaluation",220-010900
220-011000,"Day Spas","Comprehensive day spa services",220-010000
220-011001,"Full Body Massage","Complete body massage therapy",220-011000
220-011002,"Hot Stone Therapy","Heated stone massage treatments",220-011000
220-011003,"Aromatherapy Services","Therapeutic aromatic treatments",220-011000
220-011004,"Body Wraps","Full body wrap treatments",220-011000
220-011005,Hydrotherapy,"Water-based therapeutic treatments",220-011000
220-011100,"Massage Services","Professional massage therapy services",220-010000
220-011101,"Swedish Massage","Traditional relaxation massage techniques",220-011100
220-011102,"Deep Tissue Massage","Therapeutic deep muscle treatment",220-011100
220-011103,"Sports Massage","Athletic performance massage therapy",220-011100
220-011104,"Prenatal Massage","Pregnancy-safe massage services",220-011100
220-011105,"Couples Massage","Simultaneous two-person massage service",220-011100
220-011200,"Wellness Centers","Holistic wellness and relaxation services",220-010000
220-011201,"Holistic Therapy","Natural wellness services",220-011200
220-011202,"Relaxation Services","Stress relief treatments",220-011200
220-011203,"Energy Healing","Alternative therapy",220-011200
220-011204,"Meditation Sessions","Mindfulness services",220-011200
220-011205,"Wellness Coaching","Health guidance services",220-011200
220-011300,"Makeup Services","Professional makeup application services",220-010000
220-011301,"Bridal Makeup","Wedding day makeup services",220-011300
220-011302,"Special Event Makeup","Occasion-specific makeup services",220-011300
220-011303,"Theatrical Makeup","Stage and performance makeup",220-011300
220-011304,"Permanent Makeup","Long-lasting makeup applications",220-011300
220-011305,"Makeup Lessons","Professional makeup instruction",220-011300
220-011400,"Beauty Products","Retail beauty and cosmetic products",220-010000
220-011401,"Skincare Products","Face and body care products retail",220-011400
220-011402,"Makeup Products","Cosmetic products and accessories",220-011400
220-011403,"Hair Care Products","Professional hair care solutions",220-011400
220-011404,"Natural Beauty Products","Organic and natural beauty items",220-011400
220-011405,"Beauty Tools","Professional beauty equipment retail",220-011400
220-011500,"Cosmetic Consultation","Professional beauty consulting services",220-010000
220-011501,"Skin Analysis","Professional skin type assessment",220-011500
220-011502,"Color Matching","Makeup shade consultation services",220-011500
220-011503,"Product Recommendations","Personalized beauty product advice",220-011500
220-011504,"Beauty Planning","Long-term beauty regime consultation",220-011500
220-011505,"Image Consulting","Personal style and beauty consulting",220-011500
220-011600,"Body Treatments","Full-body care and treatment services",220-010000
220-011601,"Full Body Scrubs","Exfoliating body treatments",220-011600
220-011602,"Detox Treatments","Body cleansing services",220-011600
220-011603,"Cellulite Treatments","Targeted cellulite reduction",220-011600
220-011604,"Body Contouring","Body shaping treatments",220-011600
220-011605,"Skin Tightening","Firming and toning treatments",220-011600
220-011700,"Hair Removal Services","Professional hair removal and waxing",220-010000
220-011701,"Waxing Services","Traditional wax hair removal",220-011700
220-011702,"Laser Hair Removal","Permanent hair reduction treatment",220-011700
220-011703,"Threading Services","Precision facial hair removal",220-011700
220-011704,Electrolysis,"Permanent hair removal treatment",220-011700
220-011705,"IPL Treatment","Intense pulsed light hair removal",220-011700
220-011800,"Tanning Services","Professional tanning and bronzing services",220-010000
220-011801,"Spray Tanning","Professional spray tan application",220-011800
220-011802,"UV Bed Tanning","Traditional tanning bed services",220-011800
220-011803,"Airbrush Tanning","Custom airbrush tan application",220-011800
220-011804,"Mobile Tanning","On-location tanning services",220-011800
220-011805,"Tanning Consultation","Professional tanning advice",220-011800
220-011900,"Bridal Beauty Services","Comprehensive bridal beauty packages",220-010000
220-011901,"Bridal Trials","Pre-wedding beauty test sessions",220-011900
220-011902,"Wedding Day Styling","Day-of bridal beauty services",220-011900
220-011903,"Bridal Party Services","Group wedding beauty packages",220-011900
220-011904,"Pre-Wedding Treatments","Beauty preparation services",220-011900
220-011905,"Destination Wedding Beauty","Travel wedding beauty services",220-011900
220-012000,"Men's Grooming","Specialized men's beauty and grooming services",220-010000
220-012001,"Beard Grooming","Professional beard care services",220-012000
220-012002,"Men's Facials","Male-specific facial treatments",220-012000
220-012003,"Men's Manicure","Male-focused nail grooming",220-012000
220-012004,"Scalp Treatments","Men's hair and scalp therapy",220-012000
220-012005,"Executive Grooming","Premium men's grooming packages",220-012000
220-012100,"Teen Beauty Services","Beauty services tailored for teenagers",220-010000
220-012101,"Teen Skincare","Adolescent skin treatments",220-012100
220-012102,"Teen Makeup Lessons","Age-appropriate makeup education",220-012100
220-012103,"Acne Treatment","Teen-focused acne services",220-012100
220-012104,"Teen Hair Styling","Youth hair care services",220-012100
220-012105,"Teen Beauty Education","Beauty and hygiene education",220-012100
220-012200,"Medical Aesthetics","Advanced medical beauty treatments",220-010000
220-012201,"Botox Services","Injectable wrinkle treatments",220-012200
220-012202,"Dermal Fillers","Facial volume enhancement",220-012200
220-012203,"Laser Treatments","Advanced laser therapy services",220-012200
220-012204,"Chemical Peels","Professional chemical exfoliation",220-012200
220-012205,Microdermabrasion,"Mechanical exfoliation treatments",220-012200
220-012300,"Anti-Aging Services","Age-defying treatments and services",220-010000
220-012301,"Collagen Treatments","Collagen enhancement services",220-012300
220-012302,"Age Spot Treatment","Pigmentation correction therapy",220-012300
220-012303,"Wrinkle Reduction","Fine line minimizing services",220-012300
220-012304,"Skin Tightening","Firming and lifting treatments",220-012300
220-012305,"Preventive Aging Care","Early aging prevention services",220-012300
220-012400,"Beauty Technology","Advanced beauty technology treatments",220-010000
220-012401,"LED Therapy","Light-based beauty treatments",220-012400
220-012402,"Ultrasound Treatment","Ultrasonic skin therapy",220-012400
